index,rooms,m2,bathrooms,floor,condominium_expenses,date,contract,typology,total_floors,availability,price,year_of_build,condition,air_conditioning,energy_efficiency,neighborhood,car_parking,energy_performance_building,housing units,start_end_works,current_building_use,elevator,floor_level,heating_centralized,heating_radiator,heating_gas,air_conditiong_centralized,air_conditioning_heat,renewable_energy_performance_index_KWh/m2
0,3,110,2,2,330,13/02/2023,sale | income property,apartment | entire property | stately property class,10 floors,,858000,1900,very good / refurbished,"autonomous, cold/heat",e172.14 kwh/m² year,repubblica,,,,,,1,2,centralized,to radiators,methane powered,autonomous, cold/hot,703
0,4,122,1,2,208,10/02/2023,sale,apartment | entire property | medium property class,8 floors,libero,465000,1970,good / habitable,,f173.54 kwh/m² year,cascina dei pomi,,,,,,1,2,centralized,to radiators,methane powered,,,
0,5,183,2,R,567,10/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,1310000,1930,very good / refurbished,,"e≥ 3,51 kwh/m² year",arco della pace,,,,,,1,0,centralized,to radiators,gas powered,,,
0,5,175,2,3,292,20/09/2022,sale,apartment | entire property | stately property class,5 floors,libero,1300000,1930,good / habitable,"autonomous, cold",e131.78 kwh/m² year,indipendenza,,,,,,1,3,autonomous,to radiators,methane powered,autonomous, cold,
0,4,120,2,6,330,16/02/2023,sale,apartment | entire property | medium property class,7 floors,libero,595000,1960,to be restructured,,g167.25 kwh/m² year,città studi,,,,,,1,6,centralized,to radiators,methane powered,,,
0,4,130,2,3,417,22/02/2023,sale,apartment | entire property | medium property class,6 floors,libero,795000,1940,good / habitable,,e134 kwh/m² year,città studi,,,,,,1,3,centralized,to radiators,methane powered,,,
0,2,55,1,4,160,20/02/2023,sale,apartment | entire property | stately property class,8 floors,,420000,1962,very good / refurbished,"autonomous, cold/heat",e≥ 175 kwh/m² year,sempione,,,,,,1,4,centralized,On the floor,fueled by diesel,autonomous, cold/hot,
0,4,140,3,3,563,09/01/2023,sale,apartment | entire property | stately property class,4 floors,libero,1420000,1960,good / habitable,,g154.81 kwh/m² year,buenos aires,1 in garage/box,,,,,1,3,centralized,On the floor,gas powered,,,
0,5,273,3,1,150,23/01/2023,sale,lofts | entire property | stately property class,3 floors,libero,1650000,1920,good / habitable,,"g≥ 3,51 kwh/m² year",navigli - darsena,"1 in garage/box, 2 all'esterno",winter summer,,,,0,1,autonomous,to radiators,methane powered,,,351
0,1,40,1,1,100,03/02/2023,sale | income property,apartment | entire property | medium property class,5 floors,,189000,1960,very good / refurbished,"autonomous, cold/heat",g125.3 kwh/m² year,ortica,,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold/hot,
0,1,40,1,6,142,15/02/2023,sale | income property,apartment | entire property | stately property class,6 floors,,420000,1800,very good / refurbished,"autonomous, cold",g178.08 kwh/m² year,carrobbio,,,,,,1,6,autonomous,to radiators,methane powered,autonomous, cold,
0,2,60,1,1,125,09/02/2023,sale,apartment | entire property | stately property class,8 floors,libero,355000,1960,new / under construction,system preparation,e175 kwh/m² year,san siro,,,,,,1,1,centralized,to radiators,methane powered,system preparation,,
0,3,87,1,4,135,03/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,620000,1910,good / habitable,"autonomous, cold",e201.52 kwh/m² year,porta venezia,,winter summer,,,,1,4,autonomous,to radiators,gas powered,autonomous, cold,1193
0,4,170,1,5,300,16/01/2023,sale,apartment | entire property | stately property class,5 floors,libero,890000,1970,good / habitable,"autonomous, cold/heat",g175 kwh/m² year,barona,1 in garage/box,,,,,1,5,centralized,to radiators,methane powered,autonomous, cold/hot,
0,5,160,2,5,250,15/02/2023,sale,apartment | entire property | medium property class,8 floors,libero,795000,1960,to be restructured,"autonomous, cold",g182.3 kwh/m² year,argonne - corsica,,,,,,1,5,centralized,On the floor,methane powered,autonomous, cold,
0,4,125,2,,300,17/02/2023,sale,apartment | entire property | stately property class,3 floors,,699000,1967,very good / refurbished,"autonomous, cold/heat",g195.4 kwh/m² year,maggiolina,1 in garage/box,,,,,1,2,centralized,to radiators,methane powered,autonomous, cold/hot,
0,5,150,2,,400,23/02/2023,sale,apartment | entire property | stately property class,9 floors,libero,960000,2007,very good / refurbished,system preparation,d120 kwh/m² year,plebisciti - susa,1 in garage/box,,,,,1,3,autonomous,to radiators,methane powered,system preparation,,
0,5+,537,3+,,,18/11/2022,sale,palace - building | stately property class,4 floors,libero,1900000,1880,good / habitable,"autonomous, cold/heat",g223.6 kwh/m² year,niguarda,2 all'esterno,,,,residenziale,0,4,autonomous,to radiators,gas powered,autonomous, cold/hot,
0,5+,315,3,S,300,20/02/2023,sale,apartment | entire property | stately property class,6 floors,libero,760000,1960,very good / refurbished,system preparation,g≥ 175 kwh/m² year,morgagni,,,,,,1,S,centralized,to radiators,methane powered,system preparation,,
0,5,180,2,1,300,22/02/2023,sale,apartment | entire property | stately property class,2 floors,libero,640000,1935,good / habitable,"autonomous, cold",d58.09 kwh/m² year,ghisolfa - mac mahon,,,,,,0,1,centralized,to radiators,gas powered,autonomous, cold,
0,3,95,1,5,250,23/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,680000,1929,to be restructured,,g175 kwh/m² year,plebisciti - susa,,,,,,1,5,centralized,to radiators,methane powered,,,
0,3,70,1,1,170,20/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,370000,1960,new / under construction,"autonomous, cold/heat",b≥ 175 kwh/m² year,san siro,,,,,,1,1,centralized,On the floor,methane powered,autonomous, cold/hot,
0,1,45,1,4,100,16/12/2022,sale,apartment | entire property | stately property class,4 floors,libero,285000,1920,good / habitable,"autonomous, cold/heat",g≥ 175 kwh/m² year,sempione,,,,,,1,4,autonomous,to radiators,methane powered,autonomous, cold/hot,
0,5,250,3,5,500,11/11/2022,sale,apartment | entire property | stately property class,5 floors,libero,2250000,1950,very good / refurbished,"autonomous, cold/heat",g153.91 kwh/m² year,piave - tricolore,,,,,,1,5,centralized,to radiators,gas powered,autonomous, cold/hot,
0,2,75,1,4,200,30/01/2023,sale,apartment | entire property | stately property class,4 floors,libero,359000,1930,very good / refurbished,"autonomous, cold",f164.7 kwh/m² year,città studi,,,,,,0,4,centralized,to radiators,methane powered,autonomous, cold,
0,3 - 4,91,3,,,24/11/2022,sale,project,7 floors,,,,,"centralized, cold/heat",a≥ 175 kwh/m² year,giambellino,17 in garage/box,,16,01/10/2022 - 31/03/2025,,0,,centralized,On the floor,powered by heat pump,centralized, cold/hot,
0,2,55,1,T,125,23/02/2023,sale,apartment | entire property | stately property class,4 floors,,385000,1930,good / habitable,"autonomous, cold/heat",g175 kwh/m² year,montenero,,,,,,1,0,centralized,to radiators,methane powered,autonomous, cold/hot,
0,5,240,3+,1,500,22/02/2023,sale,apartment | entire property | stately property class,6 floors,libero,1980000,1930,new / under construction,"autonomous, cold/heat",c65 kwh/m² year,quadronno - crocetta,1 in garage/box,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold/hot,
0,2,70,1,5,160,21/02/2023,sale,apartment | entire property | stately property class,8 floors,libero,380000,1960,good / habitable,,g111 kwh/m² year,lodi - brenta,,,,,,1,5,centralized,On the floor,gas powered,,,
0,4,130,1,5,300,23/02/2023,sale,attic | entire property | stately property class,5 floors,libero,580000,1960,very good / refurbished,"autonomous, cold",e151.66 kwh/m² year,affori,1 in garage/box,,,,,1,5,centralized,to radiators,gas powered,autonomous, cold,
0,2,50,1,5,70,23/02/2023,sale,apartment | entire property | medium property class,5 floors,libero,175000,1920,very good / refurbished,"autonomous, cold/heat",e108.08 kwh/m² year,cimiano,,,,,,0,5,autonomous,by air,powered by heat pump,autonomous, cold/hot,
0,2,61,1,,150,23/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,245000,2005,very good / refurbished,"autonomous, cold/heat",d120 kwh/m² year,san siro,1 in garage/box,,,,,1,2,autonomous,to radiators,methane powered,autonomous, cold/hot,
0,4,150,2,2,400,15/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,730000,1970,good / habitable,"autonomous, cold",g175.76 kwh/m² year,argonne - corsica,,,,,,1,2,centralized,to radiators,methane powered,autonomous, cold,
0,3,110,1,2,250,06/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,510000,1900,to be restructured,,g≥ 175 kwh/m² year,buenos aires,,,,,,1,2,centralized,to radiators,methane powered,,,
0,4,185,3,8,700,28/11/2022,sale,apartment | entire property | stately property class,8 floors,libero,1980000,1969,good / habitable,"centralized, cold",g301.49 kwh/m² year,porta romana - medaglie d'oro,,,,,,1,8,centralized,to radiators,methane powered,centralized, cold,
0,3,115,1,7,333,08/02/2023,sale,apartment | entire property | medium property class,7 floors,libero,915000,1960,very good / refurbished,"autonomous, cold",e102.46 kwh/m² year,città studi,,,,,,1,7,centralized,to radiators,methane powered,autonomous, cold,
0,3,90,1,R,167,22/02/2023,sale,apartment | entire property | medium property class,6 floors,libero,219000,1970,to be restructured,,g310.29 kwh/m² year,crescenzago,"1 in garage/box, 1 all'esterno",,,,,1,0,centralized,to radiators,methane powered,,,
0,4,174,2,1,333,19/12/2022,sale,apartment | entire property | stately property class,6 floors,libero,990000,1930,very good / refurbished,"autonomous, cold",c257.56 kwh/m² year,via giuseppina lazzaroni,,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold,
0,3,93,2,4,100,05/12/2022,sale - download specifications,apartment | entire property | stately property class,5 floors,libero,375000,2022,new / under construction,"centralized, cold/heat",a≥ 175 kwh/m² year,cascina merlata - musocco,"1 in garage/box, 1 all'esterno",,,,,1,4,centralized,by air,powered by heat pump,centralized, cold/hot,
0,2 - 4,69,3,,,26/01/2023,sale,project,7 floors,,,,,system preparation,a≥ 175 kwh/m² year,vigentino - fatima,"15 in garage/box, 3 all'esterno",,17,28/02/2023 - 31/03/2025,,0,,autonomous,On the floor,powered by heat pump,system preparation,,
0,2,75,1,R,167,06/02/2023,sale,apartment | entire property | medium property class,2 floors,libero,219000,1960,very good / refurbished,"autonomous, cold/heat",g≥ 175 kwh/m² year,affori,,,,,,1,0,centralized,to radiators,methane powered,autonomous, cold/hot,
0,4,145,2,2,485,20/02/2023,sale,apartment | entire property | stately property class,8 floors,libero,1180000,1960,good / habitable,"autonomous, cold",f216.6 kwh/m² year,sempione,,winter summer,,,,1,2,centralized,On the floor,gas powered,autonomous, cold,62
0,3,103,1,,230,23/02/2023,sale,apartment | entire property | economic property class,4 floors,libero,265000,1967,good / habitable,"autonomous, cold/heat",g125.18 kwh/m² year,corvetto,,,,,,0,2,centralized,to radiators,gas powered,autonomous, cold/hot,
0,2,50,1,5,167,31/01/2023,sale,apartment | entire property | medium property class,6 floors,libero,420000,2005,very good / refurbished,"autonomous, cold",b175 kwh/m² year,porta romana - medaglie d'oro,,,,,,1,5,centralized,to radiators,methane powered,autonomous, cold,
0,2,55,1,1,92,16/02/2023,sale,apartment | entire property | medium property class,5 floors,libero,184000,1930,very good / refurbished,,g175 kwh/m² year,giambellino,,,,,,0,1,autonomous,to radiators,methane powered,,,
0,4,150,3,,513,22/02/2023,sale,apartment | entire property | stately property class,3 floors,,1030000,2012,very good / refurbished,,d186.25 kwh/m² year,città studi,"1 in garage/box, 1 all'esterno",,,,,1,2,centralized,to radiators,methane powered,,,
0,1 - 2,34,8,,,08/02/2023,sale,project,4 floors,,,,,"centralized, cold/heat",d≥ 175 kwh/m² year,duomo,,,8,23/01/2023 - 30/11/2023,,0,,centralized,by air,powered by heat pump,centralized, cold/hot,
0,3,80,1,1,170,15/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,360000,1930,to be restructured,"autonomous, cold",f175 kwh/m² year,cascina dei pomi,,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold,
0,4,145,2,2,292,24/02/2023,sale,apartment | entire property | medium property class,5 floors,libero,890000,2012,new / under construction,"autonomous, cold",b136.69 kwh/m² year,bande nere,1 in garage/box,,,,,1,2,centralized,to radiators,methane powered,autonomous, cold,
0,3,110,1,1,250,23/02/2023,sale,apartment | entire property | medium property class,7 floors,libero,580000,1960,very good / refurbished,"autonomous, cold",f≥ 175 kwh/m² year,cenisio,,,,,,1,1,centralized,On the floor,methane powered,autonomous, cold,
0,2,80,1,4,210,10/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,348000,1935,to be restructured,"autonomous, cold/heat",g≥ 175 kwh/m² year,centrale,,,,,,1,4,centralized,to radiators,methane powered,autonomous, cold/hot,
0,2,95,1,1,120,13/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,359000,1940,to be restructured,,g155.89 kwh/m² year,città studi,,,,,,0,1,centralized,to radiators,methane powered,,,
0,4,120,2,3,200,13/02/2023,sale,apartment | entire property | medium property class,7 floors,,575000,1954,good / habitable,"autonomous, cold/heat",g179.1 kwh/m² year,plebisciti - susa,,,,,,1,3,centralized,to radiators,methane powered,autonomous, cold/hot,
0,5,160,2,6,390,21/02/2023,sale,apartment | entire property | stately property class,8 floors,libero,550000,1960,good / habitable,"autonomous, cold",g100 kwh/m² year,tre castelli - faenza,2 in garage/box,,,,,1,6,centralized,to radiators,gas powered,autonomous, cold,
0,3,109,2,,280,20/02/2023,sale,apartment | entire property | stately property class,6 floors,libero,590000,1968,good / habitable,"autonomous, cold","d≥ 3,51 kwh/m² year",monte rosa - lotto,,,,,,1,2,centralized,to radiators,methane powered,autonomous, cold,13479
0,4,240,3,5,1.000,22/02/2023,sale,attic | entire property | stately property class,5 floors,libero,3000000,1910,very good / refurbished,"autonomous, cold/heat","f≥ 3,51 kwh/m² year",porta nuova,"1 in garage/box, 2 all'esterno",winter summer,,,,1,5,centralized,to radiators,methane powered,autonomous, cold/hot,351
0,2,73,1,R,,23/01/2023,sale,apartment | entire property | medium property class,7 floors,libero,390000,1960,good / habitable,,f175 kwh/m² year,sempione,,,,,,1,0,centralized,to radiators,methane powered,,,
0,3,90,2,3,130,03/02/2023,sale,apartment | entire property | medium property class,4 floors,libero,525000,1920,to be restructured,"autonomous, cold/heat",,paolo sarpi,1 in garage/box,,,,,1,3,autonomous,to radiators,methane powered,autonomous, cold/hot,
0,2 - 3,67,6,,,22/02/2023,sale - download specifications,project,5 floors,,,,,"autonomous, cold",a≥ 175 kwh/m² year,cenisio,,,17,01/06/2022 - 31/12/2024,,0,,centralized,On the floor,powered by heat pump,autonomous, cold,
0,4,130,1,5,292,10/02/2023,sale,apartment | entire property | medium property class,7 floors,libero,620000,1940,to be restructured,"autonomous, cold",f185.89 kwh/m² year,centrale,,,,,,1,5,centralized,to radiators,methane powered,autonomous, cold,
0,5,195,3,1,460,22/02/2023,sale,apartment | entire property | stately property class,6 floors,libero,1650000,1930,new / under construction,"autonomous, cold/heat",c≥ 175 kwh/m² year,quadronno - crocetta,1 in garage/box,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold/hot,
0,5,240,3+,1,500,11/01/2023,sale,apartment | entire property | stately property class,6 floors,libero,1980000,1930,new / under construction,"autonomous, cold/heat",c65 kwh/m² year,guastalla,1 in garage/box,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold/hot,
0,4,173,2,2,335,28/12/2022,sale,apartment | entire property | stately property class,4 floors,libero,1120000,1920,good / habitable,"autonomous, cold",e175.37 kwh/m² year,indipendenza,,winter summer,,,,1,2,centralized,to radiators,gas powered,autonomous, cold,341
0,3,160,1,4,333,23/02/2023,sale,apartment | entire property | stately property class,7 floors,libero,950000,1900,good / habitable,"autonomous, cold/heat",g175 kwh/m² year,dezza,,,,,,1,4,centralized,to radiators,methane powered,autonomous, cold/hot,
0,2 - 5,60,5,,,19/01/2023,sale,project,8 floors,,,,,"autonomous, cold/heat","a4≥ 3,51 kwh/m² year",viale ungheria - mecenate,,,41,31/12/2022 - 31/12/2024,,0,,autonomous,On the floor,powered by heat pump,autonomous, cold/hot,
0,3,70,1,4,100,24/01/2023,sale,apartment | entire property | medium property class,4 floors,libero,465000,1950,new / under construction,"autonomous, cold/heat",d173.3 kwh/m² year,sempione,,,,,,1,4,centralized,to radiators,methane powered,autonomous, cold/hot,
0,2,60,1,1,120,13/01/2023,sale,apartment | entire property | medium property class,4 floors,libero,368000,1940,good / habitable,"autonomous, cold/heat",e240.48 kwh/m² year,porta venezia,,,,,,1,1,autonomous,to radiators,gas powered,autonomous, cold/hot,
0,5+,479,3,8,1.250,21/02/2023,sale,attic | entire property | luxury property,9 floors,libero,2350000,1970,good / habitable,"centralized, cold",f256.2 kwh/m² year,città studi,1 in garage/box,,,,,1,8,centralized,On the floor,gas powered,centralized, cold,
0,3,80,1,1,150,14/02/2023,sale | income property,apartment | entire property | stately property class,5 floors,,495000,1920,good / habitable,,g≥ 175 kwh/m² year,porta venezia,,,,,,1,1,autonomous,to radiators,gas powered,,,
0,2 - 4,67,2,,,02/12/2022,sale - download specifications,project,,,,,,,a≥ 175 kwh/m² year,palestro,,,22,01/03/2022 - 31/03/2024,,0,,,,,,,
0,3,104,2,6,440,13/02/2023,sale,apartment | entire property | stately property class,7 floors,libero,1190000,1960,good / habitable,"autonomous, cold/heat",e123.43 kwh/m² year,missori,,,,,,1,6,centralized,On the floor,gas powered,autonomous, cold/hot,
0,2,60,1,1,83,20/02/2023,sale,apartment | entire property | stately property class,7 floors,libero,329000,1965,very good / refurbished,"system predisposition, cold",g212.34 kwh/m² year,tripoli - soderini,,,,,,1,1,centralized,to radiators,methane powered,system preparation, cold,
0,4,110,1,1,250,24/02/2023,sale,apartment | entire property | medium property class,8 floors,libero,420000,1960,to be restructured,,g175 kwh/m² year,lorenteggio,,,,,,1,1,centralized,to radiators,methane powered,,,
0,4,140,2,7,208,28/10/2022,sale,apartment | entire property | stately property class,8 floors,libero,510000,1999,good / habitable,"autonomous, cold",g≥ 175 kwh/m² year,greco - segnano,1 in garage/box,,,,,1,7,autonomous,to radiators,gas powered,autonomous, cold,
0,3,90,2,2,150,23/02/2023,sale,apartment | entire property | medium property class,3 floors,libero,370000,1960,very good / refurbished,,e≥ 175 kwh/m² year,lambrate,,,,,,0,2,centralized,to radiators,methane powered,,,
0,2,60,1,R,100,09/02/2023,sale,apartment | entire property | medium property class,8 floors,libero,210000,1960,very good / refurbished,"autonomous, cold",f222.44 kwh/m² year,lorenteggio,,,,,,1,0,centralized,to radiators,methane powered,autonomous, cold,
0,4,158,2,3,367,10/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,1290000,1920,to be restructured,,f145.87 kwh/m² year,porta nuova,,,,,,1,3,centralized,to radiators,methane powered,,,
0,4,124,2,1,133,10/02/2023,sale,apartment | entire property | stately property class,4 floors,libero,485000,1960,very good / refurbished,system preparation,g278 kwh/m² year,bicocca,,,,,,1,1,autonomous,to radiators,gas powered,system preparation,,
0,2,58,1,9,195,23/02/2023,sale,apartment | entire property | medium property class,21 floors,libero,235000,2007,very good / refurbished,"autonomous, cold",c99.22 kwh/m² year,quartiere adriano,1 in garage/box,,,,,1,9,centralized,to radiators,methane powered,autonomous, cold,
0,3 - 4,116,2,,,06/02/2023,sale - download specifications,project,8 floors,,,,,"autonomous, cold/heat",a≥ 175 kwh/m² year,farini,,,39,15/01/2022 - 31/10/2024,,0,,autonomous,On the floor,powered by heat pump,autonomous, cold/hot,
0,2,70,1,R,70,14/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,520000,1920,very good / refurbished,"autonomous, cold/heat",f175 kwh/m² year,moscova,,winter summer,,,,1,0,autonomous,to radiators,methane powered,autonomous, cold/hot,351
0,3,80,1,1,150,06/02/2023,sale,apartment | entire property | stately property class,4 floors,libero,408000,1920,to be restructured,,g149.2 kwh/m² year,repubblica,,,,,,1,1,autonomous,to radiators,LPG powered,,,
0,4,161,2,2,275,20/02/2023,sale,apartment | entire property | medium property class,7 floors,libero,980000,1960,good / habitable,"autonomous, cold",e135.67 kwh/m² year,navigli - darsena,1 in garage/box,,,,,1,2,centralized,On the floor,methane powered,autonomous, cold,
0,3,90,1,2,140,10/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,698000,1900,new / under construction,system preparation,e135.51 kwh/m² year,buenos aires,,,,,,1,2,autonomous,to radiators,methane powered,system preparation,,
0,2 - 3,63,3,,,07/02/2023,sale,project,5 floors,,,,,"centralized, cold","a1≥ 3,51 kwh/m² year",pezzotti - meda,,,22,01/02/2023 - 01/10/2024,,0,,centralized,On the floor,powered by heat pump,centralized, cold,
0,4,200,3,T,30,10/02/2023,sale,lofts | entire property | stately property class,2 floors,libero,1570000,1960,new / under construction,"autonomous, cold/heat","g≥ 3,51 kwh/m² year",arena,,,,,,0,0,autonomous,On the floor,gas powered,autonomous, cold/hot,
0,3,89,2,2,208,10/02/2023,sale,apartment | entire property | medium property class,7 floors,libero,750000,1930,very good / refurbished,"autonomous, cold/heat","e≥ 3,51 kwh/m² year",buenos aires,,,,,,1,2,centralized,to radiators,gas powered,autonomous, cold/hot,
0,2,100,1,1,300,25/01/2023,sale,apartment | entire property | stately property class,6 floors,libero,465000,1900,good / habitable,"autonomous, cold/heat",g77.38 kwh/m² year,paolo sarpi,,,,,,1,1,centralized,to radiators,gas powered,autonomous, cold/hot,
0,3 - 5,119,3,,,24/01/2023,sale - download specifications,project,5 floors,,,,,"centralized, cold/heat",a≥ 175 kwh/m² year,porta romana - medaglie d'oro,,,104,01/03/2022 - 31/12/2024,,0,,centralized,On the floor,powered by heat pump,centralized, cold/hot,
0,2,50,1,1,150,13/02/2023,sale,apartment | entire property | medium property class,5 floors,libero,328000,1940,good / habitable,"autonomous, cold/heat",e179 kwh/m² year,repubblica,,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold/hot,1485
0,4,115,2,T,133,22/02/2023,sale,apartment | entire property | medium property class,4 floors,libero,355000,1990,good / habitable,,e130.17 kwh/m² year,quartiere adriano,,,,,,1,0,autonomous,to radiators,methane powered,,,
0,3,80,1,3,167,01/02/2023,sale,apartment | entire property | medium property class,5 floors,libero,325000,1960,good / habitable,,f162.25 kwh/m² year,città studi,,,,,,1,3,centralized,to radiators,methane powered,,,
0,2,66,1,3,208,30/01/2023,sale,apartment | entire property | medium property class,8 floors,libero,285000,1950,good / habitable,"autonomous, cold/heat",g175 kwh/m² year,corvetto,,,,,,1,3,centralized,to radiators,methane powered,autonomous, cold/hot,
0,4,157,3,2,375,30/01/2023,sale,apartment | entire property | stately property class,7 floors,libero,890000,1960,to be restructured,,f144.58 kwh/m² year,plebisciti - susa,1 in garage/box,winter summer,,,,1,2,centralized,On the floor,,,,1051
0,3,95,1,1,366,22/01/2023,sale,apartment | entire property | stately property class,7 floors,libero,595000,1965,to be restructured,"centralized, cold/heat",d171.05 kwh/m² year,frua,,,,,,1,1,centralized,to radiators,gas powered,centralized, cold/hot,
0,3,104,1,1,150,10/02/2023,sale,apartment | entire property | medium property class,4 floors,libero,660000,1900,very good / refurbished,"autonomous, cold/heat",d184 kwh/m² year,garibaldi - corso como,,,,,,1,1,autonomous,by air,powered by heat pump,autonomous, cold/hot,
0,4,190,2,,,17/02/2023,sale,detached villa | entire property | medium property class,4 floors,libero,1650000,1920,good / habitable,,g≥ 175 kwh/m² year,piave - tricolore,"1 in garage/box, 1 all'esterno",,,,,0,0,autonomous,to radiators,methane powered,,,
0,1,25,1,3,63,23/02/2023,sale,apartment | entire property | stately property class,6 floors,libero,250000,1920,good / habitable,"autonomous, cold/heat",g≥ 175 kwh/m² year,montenero,,,,,,1,3,autonomous,by air,power supply,autonomous, cold/hot,
0,5,170,2,R,835,13/01/2023,sale,apartment | entire property | stately property class,5 floors,libero,1360000,1900,very good / refurbished,"autonomous, cold/heat",g175 kwh/m² year,vercelli - wagner,,,,,,1,0,centralized,to radiators,methane powered,autonomous, cold/hot,
0,3,140,2,T,380,26/01/2023,sale,lofts | entire property | medium property class,4 floors,libero,870000,1700,very good / refurbished,"autonomous, cold/heat",g175 kwh/m² year,ticinese,,,,,,0,0,autonomous,to radiators,methane powered,autonomous, cold/hot,
0,3,91,1,10,320,20/02/2023,sale,apartment | entire property | stately property class,11 floors,libero,395000,1960,to be restructured,,e137.62 kwh/m² year,monte stella,1 in garage/box,,,,,1,1,centralized,to radiators,methane powered,,,
